id,title,subpart,start_page,end_page,has_figure_or_table,figure_pages,changed_in,changed_refs
AMC General,,A,15,15,no,,none,
CS-E 10,Applicability,A,15,15,no,,Amdt7,[Amdt7] CS-E 10 is amended as follows:
AMC E 10(b),Thrust Reversers,A,15,16,no,,Amdt7,[Amdt7] AMC E 10(b) is amended as follows:
CS-E 15,Terminology,A,16,18,no,,none,
CS-E 20,Engine Configuration and Interfaces,A,18,18,no,,none,
AMC E 20,Engine Configuration and Interfaces,A,19,19,no,,none,
AMC E 20(f),Power Assurance Data for Engines with One or More OEI Power Ratings,A,20,21,no,,Amdt8,[Amdt8] AMC E 20(f) is amended as follows:
CS-E 25,Instructions for Continued Airworthiness,A,21,22,no,,Amdt7,[Amdt7] CS-E 25 is amended as follows:
AMC E 25,Instructions for continued airworthiness,A,22,27,no,,Amdt8,[Amdt8] Point (6) is added in AMC E 25 as follows:
CS-E 30,Assumptions,A,27,27,no,,none,
AMC E 30,Assumptions,A,27,29,yes,27 28 29,Amdt7,[Amdt7] AMC E 30 is amended as follows:
CS-E 40,Ratings,A,29,30,no,,Amdt7,[Amdt7] CS-E 40 is amended as follows:
AMC E 40,Ratings,A,30,30,no,,none,
AMC E 40(b)(3),"and (b)(4) 30-Second OEI, 2-Minute OEI and 30- minute Power Ratings",A,30,31,no,,none,
AMC E 40(d),Operating Limitations,A,31,33,no,,none,
CS-E 50,Engine Control System,A,33,36,no,,none,
AMC E 50,Engine Control System,A,36,37,no,,none,
AMC E 50(e),Rotor integrity,A,37,37,no,,none,
AMC E 50(j),Controls - Engines having a 30-Second OEI Power Rating,A,37,38,no,,none,
AMC to CS-E 50(l),Information system security protection,A,38,38,no,,none,
CS-E 60,Provision for Instruments,A,38,39,no,,none,
AMC E 60,Provision for instruments,A,39,40,no,,Amdt7,[Amdt7] AMC E 60 is amended as follows:
AMC E 60(d),Provision for instruments,A,40,41,no,,none,
CS-E 70,Materials and Manufacturing Methods,A,41,41,no,,none,
AMC E 70,"Castings, Forgings, Welded Structures and Welded Components",A,41,43,no,,none,
CS-E 80,Equipment,A,43,44,no,,none,
AMC E 80,Equipment,A,44,50,yes,44 45 47 48 49 50,none,
CS-E 90,Prevention of Corrosion and Deterioration,A,50,50,no,,none,
CS-E 100,Strength,A,50,50,no,,none,
CS-E 110,Drawings and Marking of Parts – Assembly of Parts,A,50,51,no,,none,
CS-E 120,Identification,A,51,51,no,,Amdt7,[Amdt7] CS-E 120 is amended as follows:
CS-E 130,Fire Protection,A,51,52,no,,none,
AMC E 130,Fire Protection,A,53,59,no,,Amdt8,[Amdt8] AMC E 130 is amended as follows:
CS-E 135,Electrical Bonding,A,59,59,no,,none,
AMC E 135,Electrical Bonding,A,59,60,no,,none,
CS-E 140,Tests - Engine Configuration,A,60,60,no,,none,
AMC E 140,Test - Engine configuration,A,60,61,no,,none,
CS-E 150,Tests - General Conduct of Tests,A,61,61,no,,none,
AMC E 150(a),Tests - General conduct of tests,A,61,61,no,,none,
CS-E 160,Tests - History,A,61,61,no,,Amdt7,[Amdt7] CS-E 160 is amended as follows:
CS-E 170,Engine Systems and Component Verification,A,61,62,no,,none,
AMC E 170,Engine systems and component verification,A,62,63,no,,none,
CS-E 180,Propeller Functioning Tests,A,63,64,no,,none,
AMC E 180,Propeller Functioning Tests,A,64,64,no,,none,
CS-E 190,Engines for Aerobatic Use,A,64,65,no,,none,
CS-E 210,Failure Analysis,B,65,65,no,,none,
AMC E 210,Failure Analysis,B,65,66,no,,Amdt7,[Amdt7] AMC E 210 is amended as follows:
CS-E 230,De-Icing and Anti-Icing Precautions,B,66,66,no,,none,
CS-E 240,Ignition,B,66,66,no,,none,
AMC E 240,Ignition,B,66,67,no,,Amdt7,[Amdt7] AMC E 240 is created as follows:
CS-E 250,Fuel System,B,67,67,no,,none,
CS-E 260,Engine Cooling System,B,67,67,no,,none,
CS-E 270,Lubrication System,B,67,68,no,,none,
CS-E 290,Hand Turning,B,68,69,no,,none,
CS-E 300,Conditions Applicable to All Tests,C,69,70,yes,69,none,
AMC E 300(f),Conditions Applicable to all Tests - Torque Measurement,C,70,70,no,,none,
CS-E 320,Performance Correction,C,70,70,no,,none,
AMC E 320,Performance Correction,C,70,71,no,,Amdt8,[Amdt8] AMC E 320 is amended as follows:
CS-E 330,Tests - General,C,71,71,no,,none,
CS-E 340,Vibration Tests,C,71,72,no,,none,
AMC E 340,Vibration Tests,C,72,72,no,,none,
CS-E 350,Calibration Tests,C,72,72,no,,none,
AMC E 350,Calibration Tests,C,72,73,no,,none,
CS-E 360,Detonation Tests,C,73,73,no,,none,
CS-E 370,Starting Tests,C,73,73,no,,none,
CS-E 380,Low Temperature Starting Tests,C,73,74,no,,none,
AMC E 380,Low Temperature Starting Tests,C,74,74,no,,none,
CS-E 390,Acceleration Tests,C,74,75,no,,none,
CS-E 400,Over-speed Tests,C,75,75,no,,none,
CS-E 430,Water Spray Tests,C,75,76,no,,none,
CS-E 440,Endurance Test,C,76,79,no,,none,
AMC E 440(b)(3),Endurance Test - Schedule for Engine Incorporating a Turbocharger,C,79,79,no,,none,
CS-E 450,Ignition Tests,C,79,79,no,,none,
CS-E 460,Backfire Tests,C,79,79,no,,none,
CS-E 470,Contaminated Fuel,C,79,80,no,,none,
